User_ID;Timestamp;Longitude;Latitude;Speed;Operatorname;Node;CellID;LAC;NetworkTech;Level;Qual;SNR;CQI;LTERSSI;ARFCN;DL_bitrate;UL_bitrate;PSC;Altitude;Accuracy;State;SERVINGTIME;BANDWIDTH;SecondCell_NODE;SecondCell_CELLID;SecondCell_RSRP;SecondCell_SNR;SecondCell_PSC;SecondCell_ARFCN;NTech1;NCellid1;NLAC1;NCell1;NARFCN1;NRxLev1;NQual1;PINGAVG;PINGMIN;PINGMAX;PINGSTDEV;PINGLOSS;TESTDOWNLINK;TESTUPLINK;TESTDOWNLINKMAX;TESTUPLINKMAX;Test_Status;Mobility;Node_Longitude;Node_Latitude;SessionID;ElapsedTime;Application_Type
11;2025.01.16_13.42.25;101.6100124;3.06557739;32.0;Operator A;701911.0;10.0;5123.0;5G;-58.5;-3.0;0.0;6.0;;9310.0;642.0;37.0;370.0;53.0;8.0;D;1.0;20.0;701911.0;10.0;-64.0;-10.0;370.0;9310.0;4G;701911-10;5128.0;370.0;9310.0;-64.0;-14.0;76.0;30.0;169.0;42.0;0.0;549.0;6175.0;679.0;7827.0;NONE;Driving;101.6087852;3.06551172;15;565.0;Video_Call
12;2025.01.16_13.44.20;101.6106552;3.07060186;0.0;Operator A;701684.0;30.0;5123.0;5G;-88.0;-7.0;6.0;13.0;;9310.0;559.0;37.0;456.0;51.0;8.0;D;47.0;20.0;701684.0;30.0;-70.0;3.0;456.0;9310.0;4G;701684-30;5123.0;456.0;9310.0;-70.0;-17.0;128.0;26.0;370.0;116.0;0.0;616.0;5057.0;692.0;7304.0;NONE;Walking;101.6107273;3.07073902;15;680.0;Background_Download
13;2025.01.16_13.46.44;101.6102613;3.07668447;34.0;Operator A;701806.0;30.0;5123.0;5G;-81.0;-4.0;21.0;13.0;;9310.0;558.0;29.0;329.0;55.0;6.0;D;6.0;20.0;701806.0;30.0;-66.0;9.0;329.0;9310.0;4G;701806-30;5123.0;329.0;9310.0;-66.0;-15.0;74.0;34.0;163.0;35.0;0.0;464.0;5374.0;558.0;6647.0;NONE;Driving;101.6101976;3.07598075;15;824.0;Video_Call
14;2025.01.16_14.10.14;101.5966785;3.06168471;0.0;Operator C;702023.0;30.0;5123.0;5G;-93.0;-6.0;10.0;6.0;;9310.0;562.0;35.0;171.0;52.0;11.0;D;2.0;20.0;702023.0;30.0;-89.0;-8.0;171.0;9310.0;4G;702023-30;5123.0;171.0;9310.0;-89.0;-18.0;55.0;14.0;176.0;43.0;0.0;452.0;5643.0;562.0;8073.0;NONE;Walking;101.5966828;3.06167319;13;190.0;Video_Streaming
15;2024.12.31_12.11.28;101.6104026;3.07431978;38.0;Operator A;701806.0;20.0;5123.0;5G;-83.0;-4.0;19.0;6.0;;9310.0;655.0;44.0;327.0;31.0;8.0;D;20.0;20.0;701806.0;20.0;-73.0;7.0;327.0;9310.0;4G;701806-20;5123.0;327.0;9310.0;-73.0;-16.0;72.0;27.0;148.0;37.0;0.0;539.0;5462.0;608.0;6695.0;NONE;Driving;101.6101976;3.07598075;11;304.0;Video_Call
16;2024.12.31_12.15.42;101.6078925;3.06547089;38.0;Operator A;701911.0;30.0;5123.0;5G;-78.0;-6.0;15.0;9.0;;9310.0;561.0;37.0;369.0;34.0;6.0;D;27.0;20.0;701911.0;30.0;-66.0;2.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-66.0;-15.0;69.0;32.0;120.0;28.0;0.0;556.0;5996.0;696.0;8892.0;NONE;Driving;101.6087852;3.06551172;11;558.0;Video_Call
17;2024.12.31_11.38.22;101.6055584;3.06541077;43.0;Operator C;701911.0;30.0;5123.0;5G;-99.0;-9.0;-1.0;11.0;;9310.0;552.0;30.0;369.0;26.0;6.0;D;27.0;20.0;701911.0;30.0;-86.0;-2.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-86.0;-14.0;140.0;19.0;393.0;129.0;0.0;543.0;6073.0;682.0;7725.0;NONE;Driving;101.6087852;3.06551172;9;610.0;Background_Download
18;2024.12.31_11.40.13;101.5988931;3.06521292;33.0;Operator C;702072.0;30.0;5123.0;5G;-90.0;-9.0;0.0;8.0;;9310.0;601.0;39.0;471.0;36.0;3.0;D;34.0;20.0;702072.0;30.0;-87.0;-6.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-87.0;-16.0;51.0;16.0;88.0;24.0;0.0;424.0;4556.0;557.0;4741.0;NONE;Driving;101.6016286;3.06529604;9;721.0;Video_Streaming
19;2024.12.31_10.51.50;101.6102735;3.07710124;28.0;Operator B;701806.0;30.0;5123.0;5G;-89.0;-3.0;9.0;15.0;;9310.0;0.0;0.0;329.0;22.0;4.0;D;33.0;20.0;701806.0;30.0;-75.0;1.0;329.0;9310.0;4G;701806-30;5123.0;329.0;9310.0;-75.0;-18.0;122.0;21.0;328.0;112.0;0.0;;;;;NONE;Driving;101.6101976;3.07598075;9;130.0;Background_Download
20;2024.12.31_10.53.43;101.6107763;3.07330897;37.0;Operator B;701684.0;10.0;5123.0;5G;-102.0;-15.0;-5.0;7.0;;9310.0;548.0;5053.0;58.5;21.0;4.0;D;5.0;20.0;701684.0;10.0;-83.0;-7.0;457.0;9310.0;4G;701684-10;5123.0;457.0;9310.0;-83.0;-17.0;46.0;25.0;81.0;21.0;0.0;639.0;5899.0;849.0;8718.0;UPLOAD;Driving;101.6107273;3.07073902;9;243.0;Video_Streaming
