User_ID;Timestamp;Longitude;Latitude;Speed;Operatorname;Node;CellID;LAC;NetworkTech;Level;Qual;SNR;CQI;LTERSSI;ARFCN;DL_bitrate;UL_bitrate;PSC;Altitude;Accuracy;State;SERVINGTIME;BANDWIDTH;SecondCell_NODE;SecondCell_CELLID;SecondCell_RSRP;SecondCell_SNR;SecondCell_PSC;SecondCell_ARFCN;NTech1;NCellid1;NLAC1;NCell1;NARFCN1;NRxLev1;NQual1;PINGAVG;PINGMIN;PINGMAX;PINGSTDEV;PINGLOSS;TESTDOWNLINK;TESTUPLINK;TESTDOWNLINKMAX;TESTUPLINKMAX;Test_Status;Mobility;Node_Longitude;Node_Latitude;SessionID;ElapsedTime;Application_Type
33;2024.12.31_11.09.05;101.596752;3.06160146;0.0;Operator B;702023.0;10.0;5123.0;5G;-91.0;-7.0;8.0;10.0;;9310.0;0.0;0.0;172.0;21.0;11.0;D;11.0;20.0;702023.0;10.0;-81.0;-6.0;172.0;9310.0;4G;702023-10;5123.0;172.0;9310.0;-81.0;-15.0;85.0;33.0;173.0;37.0;0.0;;;;;NONE;Walking;101.5966828;3.06167319;9;1165.0;Background_Download
34;2024.12.31_11.10.26;101.5994532;3.06532298;38.0;Operator B;702072.0;30.0;5123.0;5G;-90.0;-6.0;2.0;11.0;;9310.0;0.0;0.0;471.0;31.0;6.0;D;14.0;20.0;702072.0;30.0;-84.0;-4.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-84.0;-18.0;110.0;14.0;269.0;86.0;0.0;;;;;NONE;Driving;101.6016286;3.06529604;9;1246.0;Background_Download
35;2024.12.31_11.11.01;101.601607;3.06528497;5.0;Operator B;702072.0;30.0;5123.0;5G;-93.0;-6.0;2.0;15.0;;9310.0;0.0;0.0;471.0;23.0;6.0;D;50.0;20.0;702072.0;30.0;-77.0;0.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-77.0;-15.0;83.0;13.0;217.0;66.0;0.0;;;;;NONE;Walking;101.6016286;3.06529604;9;1281.0;Background_Download
36;2024.12.31_11.12.38;101.6073994;3.06542191;39.0;Operator B;701911.0;30.0;5123.0;5G;-89.0;-4.0;7.0;15.0;;9310.0;1.0;0.0;369.0;24.0;8.0;D;22.0;20.0;701911.0;30.0;-74.0;1.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-74.0;-18.0;168.0;40.0;373.0;120.0;0.0;;;;;NONE;Driving;101.6087852;3.06551172;9;1378.0;Background_Download
37;2024.12.31_11.13.13;101.6086351;3.06544836;0.0;Operator B;701911.0;30.0;5123.0;5G;-88.0;-6.0;4.0;8.0;;9310.0;0.0;0.0;369.0;24.0;8.0;D;58.0;20.0;701911.0;30.0;-74.0;-4.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-74.0;-16.0;189.0;46.5;326.0;89.0;0.0;;;;;NONE;Walking;101.6087852;3.06551172;9;1413.0;Background_Download
38;2024.12.31_11.14.03;101.6106107;3.06562462;31.0;Operator B;701911.0;10.0;5123.0;5G;-96.0;-8.0;0.0;8.0;;9310.0;0.0;0.0;370.0;24.0;8.0;D;22.0;20.0;701911.0;10.0;-80.0;-7.0;370.0;9310.0;4G;701911-10;5128.0;370.0;9310.0;-80.0;-17.0;82.0;39.0;162.0;34.0;0.0;;;;;NONE;Driving;101.6087852;3.06551172;9;1463.0;Background_Download
39;2024.12.31_11.20.34;101.6127492;3.0797618900000003;24.0;Operator B;701895.0;20.0;5123.0;5G;-94.0;-14.0;0.0;7.0;;9310.0;0.0;0.0;195.0;26.0;4.0;D;13.0;20.0;701895.0;20.0;-82.0;-4.0;195.0;9310.0;4G;701895-20;5123.0;195.0;9310.0;-82.0;-18.0;53.0;21.0;142.0;42.0;0.0;;;;;NONE;Driving;101.6123955;3.07890349;9;1854.0;Background_Download
40;2025.01.27_12.42.13;101.6072695;3.06558198;20.0;Operator C;701911.0;30.0;5123.0;5G;-76.0;-3.0;15.0;15.0;;9310.0;564.0;38.0;369.0;44.0;11.0;D;45.0;20.0;701911.0;30.0;-61.0;5.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-61.0;-15.0;88.0;25.0;225.0;72.0;0.0;580.0;6066.0;711.0;8930.0;NONE;Driving;101.6087852;3.06551172;14;40.0;Web_Browse
41;2025.01.27_12.44.57;101.6107463;3.06998208;27.0;Operator C;701684.0;20.0;5123.0;5G;-98.0;-6.0;2.0;10.0;;9310.0;0.0;0.0;58.5;44.0;11.0;I;67.0;20.0;701684.0;20.0;-80.0;3.0;458.0;9310.0;4G;701684-20;5123.0;458.0;9310.0;-80.0;-13.0;64.0;19.0;320.0;86.0;0.0;315.0;5581.0;817.0;9190.0;NONE;Driving;101.6107273;3.07073902;14;204.0;Background_Download
42;2025.03.06_11.53.11;101.6015946;3.06528309;0.0;Operator A;702072.0;30.0;5123.0;5G;-90.0;-10.0;-1.0;7.0;;9310.0;501.0;31.0;471.0;26.0;11.0;D;81.0;20.0;702072.0;30.0;-76.0;-8.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-76.0;-17.0;194.0;46.5;330.0;90.0;0.0;577.0;6328.0;604.0;8893.0;NONE;Walking;101.6016286;3.06529604;20;302.0;Background_Download
